"loc","year","month","deaths","deaths_lower","deaths_upper"
"National",2014,1,"4026","NA","NA"
"National",2014,2,"3895","NA","NA"
"National",2014,3,"4106","NA","NA"
"National",2014,4,"3733","NA","NA"
"National",2014,5,"3927","NA","NA"
"National",2014,6,"3783","NA","NA"
"National",2014,7,"3902","NA","NA"
"National",2014,8,"3987","NA","NA"
"National",2014,9,"3748","NA","NA"
"National",2014,10,"4021","NA","NA"
"National",2014,11,"3927","NA","NA"
"National",2014,12,"4002","NA","NA"
"National",2015,1,"4355","NA","NA"
"National",2015,2,"4087","NA","NA"
"National",2015,3,"4583","NA","NA"
"National",2015,4,"4281","NA","NA"
"National",2015,5,"4463","NA","NA"
"National",2015,6,"4176","NA","NA"
"National",2015,7,"4497","NA","NA"
"National",2015,8,"4492","NA","NA"
"National",2015,9,"4481","NA","NA"
"National",2015,10,"4546","NA","NA"
"National",2015,11,"4199","NA","NA"
"National",2015,12,"4246","NA","NA"
"National",2016,1,"4632","NA","NA"
"National",2016,2,"5022","NA","NA"
"National",2016,3,"5511","NA","NA"
"National",2016,4,"5259","NA","NA"
"National",2016,5,"5159","NA","NA"
"National",2016,6,"5128","NA","NA"
"National",2016,7,"5592","NA","NA"
"National",2016,8,"5397","NA","NA"
"National",2016,9,"5195","NA","NA"
"National",2016,10,"5446","NA","NA"
"National",2016,11,"5464","NA","NA"
"National",2016,12,"5829","NA","NA"
"National",2017,1,"6233","NA","NA"
"National",2017,2,"5619","NA","NA"
"National",2017,3,"6164","NA","NA"
"National",2017,4,"5886","NA","NA"
"National",2017,5,"6037","NA","NA"
"National",2017,6,"5884","NA","NA"
"National",2017,7,"5938","NA","NA"
"National",2017,8,"5863","NA","NA"
"National",2017,9,"5786","NA","NA"
"National",2017,10,"5539","NA","NA"
"National",2017,11,"5491","NA","NA"
"National",2017,12,"5799","NA","NA"
"National",2018,1,"5659","NA","NA"
"National",2018,2,"5244","NA","NA"
"National",2018,3,"5793","NA","NA"
"National",2018,4,"5556","NA","NA"
"National",2018,5,"5773","NA","NA"
"National",2018,6,"5817","NA","NA"
"National",2018,7,"5940","NA","NA"
"National",2018,8,"5836","NA","NA"
"National",2018,9,"5500","NA","NA"
"National",2018,10,"5522","NA","NA"
"National",2018,11,"5177","NA","NA"
"National",2018,12,"5551","NA","NA"
"National",2019,1,"5519","NA","NA"
"National",2019,2,"5180","NA","NA"
"National",2019,3,"5888","NA","NA"
"National",2019,4,"5562","NA","NA"
"National",2019,5,"5829","NA","NA"
"National",2019,6,"5808","NA","NA"
"National",2019,7,"6162","NA","NA"
"National",2019,8,"6194","NA","NA"
"National",2019,9,"5882","NA","NA"
"National",2019,10,"6134","NA","NA"
"National",2019,11,"6176","NA","NA"
"National",2019,12,"6299","NA","NA"
"National",2020,1,"6356","6248","6464"
"National",2020,2,"6522","6395","6649"
"National",2020,3,"7356","7197","7515"
"National",2020,4,"7703","7537","7869"
"National",2020,5,"9192","8993","9391"
"National",2020,6,"7888","7715","8061"
"National",2020,7,"8850","8652","9048"
"National",2020,8,"8606","8414","8798"
"National",2020,9,"7718","7542","7894"
"East North Central",2014,1,"648","NA","NA"
"East North Central",2014,2,"673","NA","NA"
"East North Central",2014,3,"723","NA","NA"
