location,end_date,predicted_val
Alabama,5/1/2020,887
Alabama,4/1/2020,835
Alabama,3/1/2020,806
Alabama,2/1/2020,784
Alabama,1/1/2020,766
Alabama,12/1/2019,754
Alabama,11/1/2019,766
Alabama,10/1/2019,760
Alabama,9/1/2019,733
Alabama,8/1/2019,745
Alabama,7/1/2019,728
Alabama,6/1/2019,733
Alabama,5/1/2019,713
Alabama,4/1/2019,712
Alabama,3/1/2019,714
Alabama,2/1/2019,713
Alabama,1/1/2019,732
Alabama,12/1/2018,753
Alabama,11/1/2018,756
Alabama,10/1/2018,766
Alabama,9/1/2018,770
Alabama,8/1/2018,761
Alabama,7/1/2018,775
Alabama,6/1/2018,779
Alabama,5/1/2018,801
Alabama,4/1/2018,797
Alabama,3/1/2018,797
Alabama,2/1/2018,811
Alabama,1/1/2018,796
Alabama,12/1/2017,818
Alabama,11/1/2017,812
Alabama,10/1/2017,813
Alabama,9/1/2017,814
Alabama,8/1/2017,823
Alabama,7/1/2017,824
Alabama,6/1/2017,821
Alabama,5/1/2017,830
Alabama,4/1/2017,814
Alabama,3/1/2017,815
Alabama,2/1/2017,780
Alabama,1/1/2017,784
Alabama,12/1/2016,762
Alabama,11/1/2016,740
Alabama,10/1/2016,726
Alabama,9/1/2016,715
Alabama,8/1/2016,705
Alabama,7/1/2016,702
Alabama,6/1/2016,693
Alabama,5/1/2016,674
Alabama,4/1/2016,697
Alabama,3/1/2016,702
Alabama,2/1/2016,732
Alabama,1/1/2016,730
Alabama,12/1/2015,745
Alabama,11/1/2015,748
Alabama,10/1/2015,755
Alabama,9/1/2015,771
Alabama,8/1/2015,763
Alabama,7/1/2015,770
Alabama,6/1/2015,785
Alabama,5/1/2015,782
Alabama,4/1/2015,764
Alabama,3/1/2015,758
Alabama,2/1/2015,749
Alabama,1/1/2015,742
Alaska,5/1/2020,129
Alaska,4/1/2020,121
Alaska,3/1/2020,118
Alaska,2/1/2020,125
Alaska,1/1/2020,134
Alaska,12/1/2019,133
Alaska,11/1/2019,139
Alaska,10/1/2019,146
Alaska,9/1/2019,136
Alaska,8/1/2019,130
Alaska,7/1/2019,135
Alaska,6/1/2019,132
Alaska,5/1/2019,128
Alaska,4/1/2019,119
Alaska,3/1/2019,124
Alaska,2/1/2019,115
Alaska,1/1/2019,107
Alaska,12/1/2018,105
Alaska,11/1/2018,106
Alaska,10/1/2018,99
Alaska,9/1/2018,100
Alaska,8/1/2018,110
Alaska,7/1/2018,116
Alaska,6/1/2018,125
Alaska,5/1/2018,126
Alaska,4/1/2018,142
Alaska,3/1/2018,136
Alaska,2/1/2018,139
Alaska,1/1/2018,138
Alaska,12/1/2017,141
Alaska,11/1/2017,138
Alaska,10/1/2017,144
Alaska,9/1/2017,148
Alaska,8/1/2017,138
Alaska,7/1/2017,129
Alaska,6/1/2017,123
Alaska,5/1/2017,121
Alaska,4/1/2017,118
Alaska,3/1/2017,127
Alaska,2/1/2017,125
Alaska,1/1/2017,127
Alaska,12/1/2016,130
Alaska,11/1/2016,134
Alaska,10/1/2016,132
Alaska,9/1/2016,132
Alaska,8/1/2016,138
Alaska,7/1/2016,143
Alaska,6/1/2016,138
Alaska,5/1/2016,140
Alaska,4/1/2016,132
Alaska,3/1/2016,125
Alaska,2/1/2016,128
Alaska,1/1/2016,126
Alaska,12/1/2015,121
Alaska,11/1/2015,115
Alaska,10/1/2015,120
Alaska,9/1/2015,125
Alaska,8/1/2015,124
Alaska,7/1/2015,117
Alaska,6/1/2015,121
Alaska,5/1/2015,125
Alaska,4/1/2015,126
Alaska,3/1/2015,125
Alaska,2/1/2015,127
Alaska,1/1/2015,126
Arizona,5/1/2020,2240
Arizona,4/1/2020,2158
Arizona,3/1/2020,2113
Arizona,2/1/2020,2070
Arizona,1/1/2020,2026
Arizona,12/1/2019,1982
Arizona,11/1/2019,1960
Arizona,10/1/2019,1960
Arizona,9/1/2019,1913
Arizona,8/1/2019,1846
Arizona,7/1/2019,1832
Arizona,6/1/2019,1797
Arizona,5/1/2019,1805
Arizona,4/1/2019,1788
Arizona,3/1/2019,1784
Arizona,2/1/2019,1762
Arizona,1/1/2019,1733
Arizona,12/1/2018,1748
Arizona,11/1/2018,1724
Arizona,10/1/2018,1694
Arizona,9/1/2018,1698
Arizona,8/1/2018,1702
Arizona,7/1/2018,1681
Arizona,6/1/2018,1638
Arizona,5/1/2018,1643
Arizona,4/1/2018,1649
Arizona,3/1/2018,1633
Arizona,2/1/2018,1623
Arizona,1/1/2018,1611
Arizona,12/1/2017,1597
Arizona,11/1/2017,1579
Arizona,10/1/2017,1572
Arizona,9/1/2017,1576
Arizona,8/1/2017,1554
Arizona,7/1/2017,1539
Arizona,6/1/2017,1553
Arizona,5/1/2017,1540
Arizona,4/1/2017,1524
Arizona,3/1/2017,1538
Arizona,2/1/2017,1518
Arizona,1/1/2017,1523
Arizona,12/1/2016,1498
Arizona,11/1/2016,1483
Arizona,10/1/2016,1481
Arizona,9/1/2016,1467
Arizona,8/1/2016,1469
Arizona,7/1/2016,1473
Arizona,6/1/2016,1408
Arizona,5/1/2016,1377
Arizona,4/1/2016,1357
Arizona,3/1/2016,1332
Arizona,2/1/2016,1324
Arizona,1/1/2016,1318
Arizona,12/1/2015,1292
Arizona,11/1/2015,1298
Arizona,10/1/2015,1297
Arizona,9/1/2015,1277
Arizona,8/1/2015,1279
Arizona,7/1/2015,1244
Arizona,6/1/2015,1254
Arizona,5/1/2015,1228
Arizona,4/1/2015,1218
Arizona,3/1/2015,1219
Arizona,2/1/2015,1221
Arizona,1/1/2015,1236
Arkansas,5/1/2020,417
Arkansas,4/1/2020,404
Arkansas,3/1/2020,386
Arkansas,2/1/2020,370
Arkansas,1/1/2020,367
Arkansas,12/1/2019,362
Arkansas,11/1/2019,364
Arkansas,10/1/2019,359
Arkansas,9/1/2019,356
Arkansas,8/1/2019,357
Arkansas,7/1/2019,383
Arkansas,6/1/2019,397
Arkansas,5/1/2019,414
Arkansas,4/1/2019,436
Arkansas,3/1/2019,440
Arkansas,2/1/2019,452
Arkansas,1/1/2019,439
Arkansas,12/1/2018,435
Arkansas,11/1/2018,447
Arkansas,10/1/2018,458
Arkansas,9/1/2018,449
Arkansas,8/1/2018,456
Arkansas,7/1/2018,452
Arkansas,6/1/2018,448
Arkansas,5/1/2018,444
Arkansas,4/1/2018,426
Arkansas,3/1/2018,431
Arkansas,2/1/2018,425
Arkansas,1/1/2018,428
Arkansas,12/1/2017,426
Arkansas,11/1/2017,413
Arkansas,10/1/2017,412
Arkansas,9/1/2017,415
Arkansas,8/1/2017,408
Arkansas,7/1/2017,397
Arkansas,6/1/2017,400
Arkansas,5/1/2017,385
Arkansas,4/1/2017,388
Arkansas,3/1/2017,386
Arkansas,2/1/2017,383
Arkansas,1/1/2017,386
Arkansas,12/1/2016,388
Arkansas,11/1/2016,380
Arkansas,10/1/2016,374
Arkansas,9/1/2016,381
Arkansas,8/1/2016,385
Arkansas,7/1/2016,380
Arkansas,6/1/2016,371
Arkansas,5/1/2016,378
Arkansas,4/1/2016,374
Arkansas,3/1/2016,365
Arkansas,2/1/2016,381
Arkansas,1/1/2016,380
Arkansas,12/1/2015,383
Arkansas,11/1/2015,391
Arkansas,10/1/2015,398
Arkansas,9/1/2015,394
Arkansas,8/1/2015,399
Arkansas,7/1/2015,396
Arkansas,6/1/2015,392
Arkansas,5/1/2015,384
Arkansas,4/1/2015,374
Arkansas,3/1/2015,386
Arkansas,2/1/2015,367
Arkansas,1/1/2015,367
California,5/1/2020,7425
California,4/1/2020,7154
California,3/1/2020,6939
California,2/1/2020,6753
California,1/1/2020,6590
California,12/1/2019,6510
California,11/1/2019,6445
California,10/1/2019,6305
California,9/1/2019,6251
California,8/1/2019,6204
California,7/1/2019,6103
California,6/1/2019,6031
California,5/1/2019,5953
California,4/1/2019,5848
California,3/1/2019,5771
California,2/1/2019,5686
California,1/1/2019,5622
California,12/1/2018,5626
California,11/1/2018,5540
California,10/1/2018,5509
California,9/1/2018,5487
California,8/1/2018,5444
California,7/1/2018,5370
California,6/1/2018,5357
California,5/1/2018,5335
California,4/1/2018,5372
California,3/1/2018,5370
California,2/1/2018,5352
California,1/1/2018,5270
California,12/1/2017,5211
California,11/1/2017,5250
California,10/1/2017,5272
California,9/1/2017,5167
California,8/1/2017,5093
California,7/1/2017,5064
California,6/1/2017,5001
California,5/1/2017,4950
California,4/1/2017,4903
California,3/1/2017,4912
California,2/1/2017,4916
California,1/1/2017,4965
California,12/1/2016,4948
California,11/1/2016,4918
California,10/1/2016,4881
California,9/1/2016,4942
California,8/1/2016,5021
California,7/1/2016,5041
California,6/1/2016,5062
California,5/1/2016,5024
California,4/1/2016,4998
California,3/1/2016,4966
California,2/1/2016,4938
California,1/1/2016,4935
California,12/1/2015,4951
California,11/1/2015,4906
California,10/1/2015,4926
California,9/1/2015,4874
California,8/1/2015,4782
California,7/1/2015,4734
California,6/1/2015,4707
California,5/1/2015,4708
California,4/1/2015,4730
California,3/1/2015,4714
California,2/1/2015,4725
California,1/1/2015,4716
Colorado,5/1/2020,1296
Colorado,4/1/2020,1230
Colorado,3/1/2020,1174
Colorado,2/1/2020,1130
Colorado,1/1/2020,1119
Colorado,12/1/2019,1100
Colorado,11/1/2019,1072
Colorado,10/1/2019,1054
Colorado,9/1/2019,1038
Colorado,8/1/2019,1019
Colorado,7/1/2019,1009
Colorado,6/1/2019,1008
Colorado,5/1/2019,994
Colorado,4/1/2019,995
Colorado,3/1/2019,990
Colorado,2/1/2019,999
Colorado,1/1/2019,992
Colorado,12/1/2018,1004
Colorado,11/1/2018,991
Colorado,10/1/2018,1018
Colorado,9/1/2018,1017
Colorado,8/1/2018,1027
Colorado,7/1/2018,1035
Colorado,6/1/2018,1035
Colorado,5/1/2018,1058
Colorado,4/1/2018,1048
Colorado,3/1/2018,1068
Colorado,2/1/2018,1053
