Census Division,Census Division Code,Year,Year Code,Month,Month Code,Deaths
Division 1: New England,CENS-D1,2014,2014,"Jan., 2014",2014/01,247
Division 1: New England,CENS-D1,2014,2014,"Feb., 2014",2014/02,274
Division 1: New England,CENS-D1,2014,2014,"Mar., 2014",2014/03,242
Division 1: New England,CENS-D1,2014,2014,"Apr., 2014",2014/04,193
Division 1: New England,CENS-D1,2014,2014,"May, 2014",2014/05,233
Division 1: New England,CENS-D1,2014,2014,"Jun., 2014",2014/06,223
Division 1: New England,CENS-D1,2014,2014,"Jul., 2014",2014/07,177
Division 1: New England,CENS-D1,2014,2014,"Aug., 2014",2014/08,239
Division 1: New England,CENS-D1,2014,2014,"Sep., 2014",2014/09,219
Division 1: New England,CENS-D1,2014,2014,"Oct., 2014",2014/10,265
Division 1: New England,CENS-D1,2014,2014,"Nov., 2014",2014/11,219
Division 1: New England,CENS-D1,2014,2014,"Dec., 2014",2014/12,261
Division 1: New England,CENS-D1,2015,2015,"Jan., 2015",2015/01,288
Division 1: New England,CENS-D1,2015,2015,"Feb., 2015",2015/02,285
Division 1: New England,CENS-D1,2015,2015,"Mar., 2015",2015/03,325
Division 1: New England,CENS-D1,2015,2015,"Apr., 2015",2015/04,295
Division 1: New England,CENS-D1,2015,2015,"May, 2015",2015/05,278
Division 1: New England,CENS-D1,2015,2015,"Jun., 2015",2015/06,271
Division 1: New England,CENS-D1,2015,2015,"Jul., 2015",2015/07,309
Division 1: New England,CENS-D1,2015,2015,"Aug., 2015",2015/08,282
Division 1: New England,CENS-D1,2015,2015,"Sep., 2015",2015/09,352
Division 1: New England,CENS-D1,2015,2015,"Oct., 2015",2015/10,366
Division 1: New England,CENS-D1,2015,2015,"Nov., 2015",2015/11,322
Division 1: New England,CENS-D1,2015,2015,"Dec., 2015",2015/12,251
Division 1: New England,CENS-D1,2016,2016,"Jan., 2016",2016/01,332
Division 1: New England,CENS-D1,2016,2016,"Feb., 2016",2016/02,378
Division 1: New England,CENS-D1,2016,2016,"Mar., 2016",2016/03,377
Division 1: New England,CENS-D1,2016,2016,"Apr., 2016",2016/04,402
Division 1: New England,CENS-D1,2016,2016,"May, 2016",2016/05,371
Division 1: New England,CENS-D1,2016,2016,"Jun., 2016",2016/06,382
Division 1: New England,CENS-D1,2016,2016,"Jul., 2016",2016/07,397
Division 1: New England,CENS-D1,2016,2016,"Aug., 2016",2016/08,347
Division 1: New England,CENS-D1,2016,2016,"Sep., 2016",2016/09,379
Division 1: New England,CENS-D1,2016,2016,"Oct., 2016",2016/10,369
Division 1: New England,CENS-D1,2016,2016,"Nov., 2016",2016/11,384
Division 1: New England,CENS-D1,2016,2016,"Dec., 2016",2016/12,365
Division 1: New England,CENS-D1,2017,2017,"Jan., 2017",2017/01,376
Division 1: New England,CENS-D1,2017,2017,"Feb., 2017",2017/02,343
Division 1: New England,CENS-D1,2017,2017,"Mar., 2017",2017/03,399
Division 1: New England,CENS-D1,2017,2017,"Apr., 2017",2017/04,384
Division 1: New England,CENS-D1,2017,2017,"May, 2017",2017/05,352
Division 1: New England,CENS-D1,2017,2017,"Jun., 2017",2017/06,350
Division 1: New England,CENS-D1,2017,2017,"Jul., 2017",2017/07,401
Division 1: New England,CENS-D1,2017,2017,"Aug., 2017",2017/08,390
Division 1: New England,CENS-D1,2017,2017,"Sep., 2017",2017/09,409
Division 1: New England,CENS-D1,2017,2017,"Oct., 2017",2017/10,390
Division 1: New England,CENS-D1,2017,2017,"Nov., 2017",2017/11,362
Division 1: New England,CENS-D1,2017,2017,"Dec., 2017",2017/12,429
Division 1: New England,CENS-D1,2018,2018,"Jan., 2018",2018/01,363
Division 1: New England,CENS-D1,2018,2018,"Feb., 2018",2018/02,356
Division 1: New England,CENS-D1,2018,2018,"Mar., 2018",2018/03,413
Division 1: New England,CENS-D1,2018,2018,"Apr., 2018",2018/04,368
Division 1: New England,CENS-D1,2018,2018,"May, 2018",2018/05,418
Division 1: New England,CENS-D1,2018,2018,"Jun., 2018",2018/06,412
Division 1: New England,CENS-D1,2018,2018,"Jul., 2018",2018/07,433
Division 1: New England,CENS-D1,2018,2018,"Aug., 2018",2018/08,362
Division 1: New England,CENS-D1,2018,2018,"Sep., 2018",2018/09,357
Division 1: New England,CENS-D1,2018,2018,"Oct., 2018",2018/10,360
Division 1: New England,CENS-D1,2018,2018,"Nov., 2018",2018/11,365
Division 1: New England,CENS-D1,2018,2018,"Dec., 2018",2018/12,370
Division 1: New England,CENS-D1,2019,2019,"Jan., 2019",2019/01,357
Division 1: New England,CENS-D1,2019,2019,"Feb., 2019",2019/02,349
Division 1: New England,CENS-D1,2019,2019,"Mar., 2019",2019/03,400
Division 1: New England,CENS-D1,2019,2019,"Apr., 2019",2019/04,355
Division 1: New England,CENS-D1,2019,2019,"May, 2019",2019/05,391
Division 1: New England,CENS-D1,2019,2019,"Jun., 2019",2019/06,403
Division 1: New England,CENS-D1,2019,2019,"Jul., 2019",2019/07,409
Division 1: New England,CENS-D1,2019,2019,"Aug., 2019",2019/08,426
Division 1: New England,CENS-D1,2019,2019,"Sep., 2019",2019/09,358
Division 1: New England,CENS-D1,2019,2019,"Oct., 2019",2019/10,402
Division 1: New England,CENS-D1,2019,2019,"Nov., 2019",2019/11,376
Division 1: New England,CENS-D1,2019,2019,"Dec., 2019",2019/12,416
Division 2: Middle Atlantic,CENS-D2,2014,2014,"Jan., 2014",2014/01,589
Division 2: Middle Atlantic,CENS-D2,2014,2014,"Feb., 2014",2014/02,478
Division 2: Middle Atlantic,CENS-D2,2014,2014,"Mar., 2014",2014/03,579
Division 2: Middle Atlantic,CENS-D2,2014,2014,"Apr., 2014",2014/04,520
