State,State Code,Year,Year Code,Month,Month Code,Deaths
Alabama,1,2014,2014,"Jan., 2014",2014/01,63
Alabama,1,2014,2014,"Feb., 2014",2014/02,50
Alabama,1,2014,2014,"Mar., 2014",2014/03,72
Alabama,1,2014,2014,"Apr., 2014",2014/04,64
Alabama,1,2014,2014,"May, 2014",2014/05,57
Alabama,1,2014,2014,"Jun., 2014",2014/06,65
Alabama,1,2014,2014,"Jul., 2014",2014/07,71
Alabama,1,2014,2014,"Aug., 2014",2014/08,76
Alabama,1,2014,2014,"Sep., 2014",2014/09,46
Alabama,1,2014,2014,"Oct., 2014",2014/10,51
Alabama,1,2014,2014,"Nov., 2014",2014/11,52
Alabama,1,2014,2014,"Dec., 2014",2014/12,56
Alabama,1,2015,2015,"Jan., 2015",2015/01,65
Alabama,1,2015,2015,"Feb., 2015",2015/02,60
Alabama,1,2015,2015,"Mar., 2015",2015/03,79
Alabama,1,2015,2015,"Apr., 2015",2015/04,69
Alabama,1,2015,2015,"May, 2015",2015/05,74
Alabama,1,2015,2015,"Jun., 2015",2015/06,66
Alabama,1,2015,2015,"Jul., 2015",2015/07,64
Alabama,1,2015,2015,"Aug., 2015",2015/08,67
Alabama,1,2015,2015,"Sep., 2015",2015/09,54
Alabama,1,2015,2015,"Oct., 2015",2015/10,39
Alabama,1,2015,2015,"Nov., 2015",2015/11,48
Alabama,1,2015,2015,"Dec., 2015",2015/12,51
Alabama,1,2016,2016,"Jan., 2016",2016/01,58
Alabama,1,2016,2016,"Feb., 2016",2016/02,62
Alabama,1,2016,2016,"Mar., 2016",2016/03,51
Alabama,1,2016,2016,"Apr., 2016",2016/04,59
Alabama,1,2016,2016,"May, 2016",2016/05,56
Alabama,1,2016,2016,"Jun., 2016",2016/06,86
Alabama,1,2016,2016,"Jul., 2016",2016/07,67
Alabama,1,2016,2016,"Aug., 2016",2016/08,68
Alabama,1,2016,2016,"Sep., 2016",2016/09,68
Alabama,1,2016,2016,"Oct., 2016",2016/10,49
Alabama,1,2016,2016,"Nov., 2016",2016/11,61
Alabama,1,2016,2016,"Dec., 2016",2016/12,71
Alabama,1,2017,2017,"Jan., 2017",2017/01,83
Alabama,1,2017,2017,"Feb., 2017",2017/02,66
Alabama,1,2017,2017,"Mar., 2017",2017/03,82
Alabama,1,2017,2017,"Apr., 2017",2017/04,64
Alabama,1,2017,2017,"May, 2017",2017/05,69
Alabama,1,2017,2017,"Jun., 2017",2017/06,80
Alabama,1,2017,2017,"Jul., 2017",2017/07,71
Alabama,1,2017,2017,"Aug., 2017",2017/08,71
Alabama,1,2017,2017,"Sep., 2017",2017/09,62
Alabama,1,2017,2017,"Oct., 2017",2017/10,48
Alabama,1,2017,2017,"Nov., 2017",2017/11,56
Alabama,1,2017,2017,"Dec., 2017",2017/12,83
Alabama,1,2018,2018,"Jan., 2018",2018/01,56
Alabama,1,2018,2018,"Feb., 2018",2018/02,79
Alabama,1,2018,2018,"Mar., 2018",2018/03,76
Alabama,1,2018,2018,"Apr., 2018",2018/04,66
Alabama,1,2018,2018,"May, 2018",2018/05,73
Alabama,1,2018,2018,"Jun., 2018",2018/06,54
Alabama,1,2018,2018,"Jul., 2018",2018/07,67
Alabama,1,2018,2018,"Aug., 2018",2018/08,59
Alabama,1,2018,2018,"Sep., 2018",2018/09,64
Alabama,1,2018,2018,"Oct., 2018",2018/10,50
Alabama,1,2018,2018,"Nov., 2018",2018/11,51
Alabama,1,2018,2018,"Dec., 2018",2018/12,80
Alabama,1,2019,2019,"Jan., 2019",2019/01,41
Alabama,1,2019,2019,"Feb., 2019",2019/02,56
Alabama,1,2019,2019,"Mar., 2019",2019/03,68
Alabama,1,2019,2019,"Apr., 2019",2019/04,63
Alabama,1,2019,2019,"May, 2019",2019/05,71
Alabama,1,2019,2019,"Jun., 2019",2019/06,75
Alabama,1,2019,2019,"Jul., 2019",2019/07,66
Alabama,1,2019,2019,"Aug., 2019",2019/08,73
Alabama,1,2019,2019,"Sep., 2019",2019/09,53
Alabama,1,2019,2019,"Oct., 2019",2019/10,75
Alabama,1,2019,2019,"Nov., 2019",2019/11,58
Alabama,1,2019,2019,"Dec., 2019",2019/12,70
Alaska,2,2014,2014,"Jan., 2014",2014/01,Suppressed
Alaska,2,2014,2014,"Feb., 2014",2014/02,Suppressed
Alaska,2,2014,2014,"Mar., 2014",2014/03,13
Alaska,2,2014,2014,"Apr., 2014",2014/04,Suppressed
Alaska,2,2014,2014,"May, 2014",2014/05,10
Alaska,2,2014,2014,"Jun., 2014",2014/06,10
Alaska,2,2014,2014,"Jul., 2014",2014/07,Suppressed
Alaska,2,2014,2014,"Aug., 2014",2014/08,Suppressed
Alaska,2,2014,2014,"Sep., 2014",2014/09,11
Alaska,2,2014,2014,"Oct., 2014",2014/10,16
Alaska,2,2014,2014,"Nov., 2014",2014/11,15
Alaska,2,2014,2014,"Dec., 2014",2014/12,13
Alaska,2,2015,2015,"Jan., 2015",2015/01,12
Alaska,2,2015,2015,"Feb., 2015",2015/02,Suppressed
Alaska,2,2015,2015,"Mar., 2015",2015/03,10
Alaska,2,2015,2015,"Apr., 2015",2015/04,Suppressed
Alaska,2,2015,2015,"May, 2015",2015/05,Suppressed
Alaska,2,2015,2015,"Jun., 2015",2015/06,Suppressed
Alaska,2,2015,2015,"Jul., 2015",2015/07,Suppressed
Alaska,2,2015,2015,"Aug., 2015",2015/08,13
