location,pred_timestamp,truth,error,pred,percent_error,month_out
Alabama,2015-12-01,51.0,-9.0,60.0,17.647058823529413,1
Alabama,2016-01-01,58.0,-1.0,59.0,1.7241379310344827,1
Alabama,2016-01-01,58.0,8.0,50.0,13.793103448275861,2
Alabama,2016-02-01,62.0,-1.0,63.0,1.6129032258064515,1
Alabama,2016-02-01,62.0,0.0,62.0,0.0,2
Alabama,2016-02-01,62.0,0.0,62.0,0.0,3
Alabama,2016-03-01,51.0,1.0,50.0,1.9607843137254901,1
Alabama,2016-03-01,51.0,2.0,49.0,3.9215686274509802,2
Alabama,2016-03-01,51.0,2.0,49.0,3.9215686274509802,3
Alabama,2016-03-01,51.0,2.0,49.0,3.9215686274509802,4
Alabama,2016-04-01,59.0,-4.0,63.0,6.779661016949152,1
Alabama,2016-04-01,59.0,-5.0,64.0,8.47457627118644,2
Alabama,2016-04-01,59.0,-5.0,64.0,8.47457627118644,3
Alabama,2016-04-01,59.0,-5.0,64.0,8.47457627118644,4
Alabama,2016-04-01,59.0,-5.0,64.0,8.47457627118644,5
Alabama,2016-05-01,56.0,1.0,55.0,1.7857142857142856,1
Alabama,2016-05-01,56.0,5.0,51.0,8.928571428571429,2
Alabama,2016-05-01,56.0,5.0,51.0,8.928571428571429,3
Alabama,2016-05-01,56.0,5.0,51.0,8.928571428571429,4
Alabama,2016-05-01,56.0,5.0,51.0,8.928571428571429,5
Alabama,2016-05-01,56.0,5.0,51.0,8.928571428571429,6
Alabama,2016-06-01,86.0,2.0,84.0,2.3255813953488373,1
Alabama,2016-06-01,86.0,1.0,85.0,1.1627906976744187,2
Alabama,2016-06-01,86.0,1.0,85.0,1.1627906976744187,3
Alabama,2016-06-01,86.0,1.0,85.0,1.1627906976744187,4
Alabama,2016-06-01,86.0,1.0,85.0,1.1627906976744187,5
Alabama,2016-06-01,86.0,1.0,85.0,1.1627906976744187,6
Alabama,2016-06-01,86.0,1.0,85.0,1.1627906976744187,7
Alabama,2016-07-01,67.0,-4.0,71.0,5.970149253731343,1
Alabama,2016-07-01,67.0,-6.0,73.0,8.955223880597014,2
Alabama,2016-07-01,67.0,-6.0,73.0,8.955223880597014,3
Alabama,2016-07-01,67.0,-6.0,73.0,8.955223880597014,4
Alabama,2016-07-01,67.0,-6.0,73.0,8.955223880597014,5
Alabama,2016-07-01,67.0,-6.0,73.0,8.955223880597014,6
Alabama,2016-07-01,67.0,-6.0,73.0,8.955223880597014,7
