"State_Name","Year","Month Code","Division","Region","Deaths"
"Alabama",2014,"2014/01","East South Central","South",63
"Alabama",2014,"2014/02","East South Central","South",50
"Alabama",2014,"2014/03","East South Central","South",72
"Alabama",2014,"2014/04","East South Central","South",64
"Alabama",2014,"2014/05","East South Central","South",57
"Alabama",2014,"2014/06","East South Central","South",65
"Alabama",2014,"2014/07","East South Central","South",71
"Alabama",2014,"2014/08","East South Central","South",76
"Alabama",2014,"2014/09","East South Central","South",46
"Alabama",2014,"2014/10","East South Central","South",51
"Alabama",2014,"2014/11","East South Central","South",52
"Alabama",2014,"2014/12","East South Central","South",56
"Alabama",2015,"2015/01","East South Central","South",65
"Alabama",2015,"2015/02","East South Central","South",60
"Alabama",2015,"2015/03","East South Central","South",79
"Alabama",2015,"2015/04","East South Central","South",69
"Alabama",2015,"2015/05","East South Central","South",74
"Alabama",2015,"2015/06","East South Central","South",66
"Alabama",2015,"2015/07","East South Central","South",64
"Alabama",2015,"2015/08","East South Central","South",67
"Alabama",2015,"2015/09","East South Central","South",54
"Alabama",2015,"2015/10","East South Central","South",39
"Alabama",2015,"2015/11","East South Central","South",48
"Alabama",2015,"2015/12","East South Central","South",51
"Alabama",2016,"2016/01","East South Central","South",58
"Alabama",2016,"2016/02","East South Central","South",62
"Alabama",2016,"2016/03","East South Central","South",51
"Alabama",2016,"2016/04","East South Central","South",59
"Alabama",2016,"2016/05","East South Central","South",56
"Alabama",2016,"2016/06","East South Central","South",86
"Alabama",2016,"2016/07","East South Central","South",67
"Alabama",2016,"2016/08","East South Central","South",68
"Alabama",2016,"2016/09","East South Central","South",68
"Alabama",2016,"2016/10","East South Central","South",49
"Alabama",2016,"2016/11","East South Central","South",61
"Alabama",2016,"2016/12","East South Central","South",71
"Alabama",2017,"2017/01","East South Central","South",83
"Alabama",2017,"2017/02","East South Central","South",66
"Alabama",2017,"2017/03","East South Central","South",82
"Alabama",2017,"2017/04","East South Central","South",64
"Alabama",2017,"2017/05","East South Central","South",69
"Alabama",2017,"2017/06","East South Central","South",80
"Alabama",2017,"2017/07","East South Central","South",71
"Alabama",2017,"2017/08","East South Central","South",71
"Alabama",2017,"2017/09","East South Central","South",62
"Alabama",2017,"2017/10","East South Central","South",48
"Alabama",2017,"2017/11","East South Central","South",56
"Alabama",2017,"2017/12","East South Central","South",83
"Alabama",2018,"2018/01","East South Central","South",56
"Alabama",2018,"2018/02","East South Central","South",79
"Alabama",2018,"2018/03","East South Central","South",76
"Alabama",2018,"2018/04","East South Central","South",66
"Alabama",2018,"2018/05","East South Central","South",73
"Alabama",2018,"2018/06","East South Central","South",54
"Alabama",2018,"2018/07","East South Central","South",67
"Alabama",2018,"2018/08","East South Central","South",59
"Alabama",2018,"2018/09","East South Central","South",64
"Alabama",2018,"2018/10","East South Central","South",50
"Alabama",2018,"2018/11","East South Central","South",51
"Alabama",2018,"2018/12","East South Central","South",80
"Alabama",2019,"2019/01","East South Central","South",41
"Alabama",2019,"2019/02","East South Central","South",56
"Alabama",2019,"2019/03","East South Central","South",68
"Alabama",2019,"2019/04","East South Central","South",63
"Alabama",2019,"2019/05","East South Central","South",71
"Alabama",2019,"2019/06","East South Central","South",75
"Alabama",2019,"2019/07","East South Central","South",66
"Alabama",2019,"2019/08","East South Central","South",73
"Alabama",2019,"2019/09","East South Central","South",53
"Alabama",2019,"2019/10","East South Central","South",75
"Alabama",2019,"2019/11","East South Central","South",58
"Alabama",2019,"2019/12","East South Central","South",70
"Alaska",2014,"2014/01","Pacific","West",9
"Alaska",2014,"2014/02","Pacific","West",7
"Alaska",2014,"2014/03","Pacific","West",13
"Alaska",2014,"2014/04","Pacific","West",6
"Alaska",2014,"2014/05","Pacific","West",10
"Alaska",2014,"2014/06","Pacific","West",10
"Alaska",2014,"2014/07","Pacific","West",8
"Alaska",2014,"2014/08","Pacific","West",6
"Alaska",2014,"2014/09","Pacific","West",11
"Alaska",2014,"2014/10","Pacific","West",16
"Alaska",2014,"2014/11","Pacific","West",15
"Alaska",2014,"2014/12","Pacific","West",13
"Alaska",2015,"2015/01","Pacific","West",12
"Alaska",2015,"2015/02","Pacific","West",7
"Alaska",2015,"2015/03","Pacific","West",10
"Alaska",2015,"2015/04","Pacific","West",6
"Alaska",2015,"2015/05","Pacific","West",9
"Alaska",2015,"2015/06","Pacific","West",8
"Alaska",2015,"2015/07","Pacific","West",5
"Alaska",2015,"2015/08","Pacific","West",13
"Alaska",2015,"2015/09","Pacific","West",12
"Alaska",2015,"2015/10","Pacific","West",12
"Alaska",2015,"2015/11","Pacific","West",11
"Alaska",2015,"2015/12","Pacific","West",17
"Alaska",2016,"2016/01","Pacific","West",17
"Alaska",2016,"2016/02","Pacific","West",12
"Alaska",2016,"2016/03","Pacific","West",6
"Alaska",2016,"2016/04","Pacific","West",15
"Alaska",2016,"2016/05","Pacific","West",15
"Alaska",2016,"2016/06","Pacific","West",5
"Alaska",2016,"2016/07","Pacific","West",7
"Alaska",2016,"2016/08","Pacific","West",8
"Alaska",2016,"2016/09","Pacific","West",7
"Alaska",2016,"2016/10","Pacific","West",10
"Alaska",2016,"2016/11","Pacific","West",13
"Alaska",2016,"2016/12","Pacific","West",13
"Alaska",2017,"2017/01","Pacific","West",15
"Alaska",2017,"2017/02","Pacific","West",8
"Alaska",2017,"2017/03","Pacific","West",11
"Alaska",2017,"2017/04","Pacific","West",6
"Alaska",2017,"2017/05","Pacific","West",20
"Alaska",2017,"2017/06","Pacific","West",7
"Alaska",2017,"2017/07","Pacific","West",14
"Alaska",2017,"2017/08","Pacific","West",15
"Alaska",2017,"2017/09","Pacific","West",17
"Alaska",2017,"2017/10","Pacific","West",8
"Alaska",2017,"2017/11","Pacific","West",9
"Alaska",2017,"2017/12","Pacific","West",17
"Alaska",2018,"2018/01","Pacific","West",11
"Alaska",2018,"2018/02","Pacific","West",9
"Alaska",2018,"2018/03","Pacific","West",8
"Alaska",2018,"2018/04","Pacific","West",12
"Alaska",2018,"2018/05","Pacific","West",3
"Alaska",2018,"2018/06","Pacific","West",7
"Alaska",2018,"2018/07","Pacific","West",7
"Alaska",2018,"2018/08","Pacific","West",11
"Alaska",2018,"2018/09","Pacific","West",6
