location,Deaths,timestamp,raw_predicted_val
Alabama,80.0,2018-12-01,80.0
Alabama,41.0,2019-01-01,41.0
Alabama,56.0,2019-02-01,56.0
Alabama,68.0,2019-03-01,68.0
Alabama,63.0,2019-04-01,63.0
Alabama,71.0,2019-05-01,71.0
Alabama,75.0,2019-06-01,75.0
Alabama,66.0,2019-07-01,66.0
Alabama,73.0,2019-08-01,73.0
Alabama,53.0,2019-09-01,53.0
Alabama,75.0,2019-10-01,75.0
Alabama,58.0,2019-11-01,45.0
Alabama,70.0,2019-12-01,68.0
Alabama,,2020-01-01,53.0
Alabama,,2020-02-01,74.0
Alabama,,2020-03-01,90.0
Alabama,,2020-04-01,92.0
Alabama,,2020-05-01,123.0
Alabama,,2020-06-01,94.0
Alabama,,2020-07-01,88.0
Alabama,,2020-08-01,101.0
Alabama,,2020-09-01,72.0
Alabama,,2020-10-01,71.0
Alabama,,2020-11-01,62.0
Alabama,,2020-12-01,89.0
Alaska,16.0,2018-12-01,16.0
Alaska,13.0,2019-01-01,13.0
Alaska,18.0,2019-02-01,18.0
Alaska,15.0,2019-03-01,15.0
Alaska,6.0,2019-04-01,6.0
Alaska,13.0,2019-05-01,13.0
Alaska,11.0,2019-06-01,11.0
Alaska,7.0,2019-07-01,7.0
Alaska,6.0,2019-08-01,6.0
Alaska,10.0,2019-09-01,10.0
Alaska,16.0,2019-10-01,16.0
Alaska,7.0,2019-11-01,8.0
Alaska,9.0,2019-12-01,10.0
Alaska,,2020-01-01,14.0
Alaska,,2020-02-01,9.0
Alaska,,2020-03-01,8.0
Alaska,,2020-04-01,9.0
Alaska,,2020-05-01,21.0
Alaska,,2020-06-01,15.0
Alaska,,2020-07-01,10.0
Alaska,,2020-08-01,11.0
Alaska,,2020-09-01,12.0
Alaska,,2020-10-01,10.0
Alaska,,2020-11-01,13.0
Alaska,,2020-12-01,14.0
Arizona,138.0,2018-12-01,138.0
Arizona,136.0,2019-01-01,136.0
Arizona,121.0,2019-02-01,121.0
Arizona,157.0,2019-03-01,157.0
Arizona,129.0,2019-04-01,129.0
Arizona,151.0,2019-05-01,151.0
Arizona,140.0,2019-06-01,140.0
Arizona,217.0,2019-07-01,217.0
Arizona,176.0,2019-08-01,176.0
Arizona,181.0,2019-09-01,181.0
Arizona,176.0,2019-10-01,176.0
Arizona,154.0,2019-11-01,238.0
Arizona,169.0,2019-12-01,160.0
Arizona,,2020-01-01,180.0
Arizona,,2020-02-01,165.0
Arizona,,2020-03-01,200.0
Arizona,,2020-04-01,174.0
Arizona,,2020-05-01,233.0
Arizona,,2020-06-01,286.0
Arizona,,2020-07-01,330.0
Arizona,,2020-08-01,300.0
Arizona,,2020-09-01,193.0
Arizona,,2020-10-01,208.0
Arizona,,2020-11-01,261.0
Arizona,,2020-12-01,130.0
Arkansas,30.0,2018-12-01,30.0
Arkansas,44.0,2019-01-01,44.0
Arkansas,31.0,2019-02-01,31.0
Arkansas,31.0,2019-03-01,31.0
Arkansas,31.0,2019-04-01,31.0
Arkansas,34.0,2019-05-01,34.0
Arkansas,28.0,2019-06-01,28.0
Arkansas,34.0,2019-07-01,34.0
Arkansas,28.0,2019-08-01,28.0
Arkansas,29.0,2019-09-01,29.0
Arkansas,36.0,2019-10-01,36.0
Arkansas,30.0,2019-11-01,8.0
Arkansas,32.0,2019-12-01,28.0
Arkansas,,2020-01-01,49.0
Arkansas,,2020-02-01,34.0
Arkansas,,2020-03-01,47.0
Arkansas,,2020-04-01,49.0
Arkansas,,2020-05-01,47.0
Arkansas,,2020-06-01,45.0
Arkansas,,2020-07-01,61.0
Arkansas,,2020-08-01,50.0
Arkansas,,2020-09-01,40.0
Arkansas,,2020-10-01,43.0
Arkansas,,2020-11-01,16.0
Arkansas,,2020-12-01,34.0
California,450.0,2018-12-01,450.0
California,485.0,2019-01-01,485.0
California,457.0,2019-02-01,457.0
California,508.0,2019-03-01,508.0
California,493.0,2019-04-01,493.0
California,517.0,2019-05-01,517.0
California,546.0,2019-06-01,546.0
California,528.0,2019-07-01,528.0
California,574.0,2019-08-01,574.0
California,525.0,2019-09-01,525.0
California,500.0,2019-10-01,500.0
California,539.0,2019-11-01,862.0
California,529.0,2019-12-01,515.0
California,,2020-01-01,565.0
California,,2020-02-01,620.0
California,,2020-03-01,694.0
California,,2020-04-01,708.0
California,,2020-05-01,788.0
California,,2020-06-01,768.0
California,,2020-07-01,888.0
California,,2020-08-01,1080.0
California,,2020-09-01,833.0
California,,2020-10-01,824.0
California,,2020-11-01,1045.0
California,,2020-12-01,725.0
Colorado,98.0,2018-12-01,98.0
Colorado,85.0,2019-01-01,85.0
Colorado,81.0,2019-02-01,81.0
Colorado,83.0,2019-03-01,83.0
Colorado,84.0,2019-04-01,84.0
Colorado,87.0,2019-05-01,87.0
Colorado,85.0,2019-06-01,85.0
Colorado,92.0,2019-07-01,92.0
Colorado,90.0,2019-08-01,90.0
Colorado,86.0,2019-09-01,86.0
Colorado,92.0,2019-10-01,92.0
Colorado,90.0,2019-11-01,109.0
Colorado,124.0,2019-12-01,126.0
Colorado,,2020-01-01,104.0
Colorado,,2020-02-01,92.0
Colorado,,2020-03-01,127.0
Colorado,,2020-04-01,140.0
Colorado,,2020-05-01,153.0
Colorado,,2020-06-01,111.0
Colorado,,2020-07-01,144.0
Colorado,,2020-08-01,159.0
Colorado,,2020-09-01,132.0
Colorado,,2020-10-01,105.0
Colorado,,2020-11-01,132.0
Colorado,,2020-12-01,113.0
Connecticut,81.0,2018-12-01,81.0
Connecticut,82.0,2019-01-01,82.0
Connecticut,79.0,2019-02-01,79.0
Connecticut,99.0,2019-03-01,99.0
Connecticut,87.0,2019-04-01,87.0
Connecticut,104.0,2019-05-01,104.0
Connecticut,119.0,2019-06-01,119.0
Connecticut,122.0,2019-07-01,122.0
Connecticut,137.0,2019-08-01,137.0
Connecticut,97.0,2019-09-01,97.0
Connecticut,81.0,2019-10-01,81.0
Connecticut,98.0,2019-11-01,116.0
Connecticut,109.0,2019-12-01,124.0
Connecticut,,2020-01-01,102.0
Connecticut,,2020-02-01,96.0
Connecticut,,2020-03-01,120.0
Connecticut,,2020-04-01,130.0
Connecticut,,2020-05-01,119.0
Connecticut,,2020-06-01,107.0
Connecticut,,2020-07-01,138.0
Connecticut,,2020-08-01,101.0
Connecticut,,2020-09-01,134.0
Connecticut,,2020-10-01,104.0
Connecticut,,2020-11-01,113.0
Connecticut,,2020-12-01,121.0
Delaware,20.0,2018-12-01,20.0
Delaware,33.0,2019-01-01,33.0
Delaware,26.0,2019-02-01,26.0
Delaware,25.0,2019-03-01,25.0
Delaware,32.0,2019-04-01,32.0
Delaware,43.0,2019-05-01,43.0
Delaware,45.0,2019-06-01,45.0
Delaware,41.0,2019-07-01,41.0
Delaware,42.0,2019-08-01,42.0
Delaware,40.0,2019-09-01,40.0
Delaware,30.0,2019-10-01,30.0
Delaware,31.0,2019-11-01,25.0
Delaware,47.0,2019-12-01,43.0
Delaware,,2020-01-01,39.0
Delaware,,2020-02-01,48.0
Delaware,,2020-03-01,33.0
Delaware,,2020-04-01,40.0
Delaware,,2020-05-01,52.0
Delaware,,2020-06-01,45.0
Delaware,,2020-07-01,39.0
Delaware,,2020-08-01,42.0
Delaware,,2020-09-01,43.0
Delaware,,2020-10-01,32.0
Delaware,,2020-11-01,12.0
Delaware,,2020-12-01,24.0
District of Columbia,19.0,2018-12-01,19.0
District of Columbia,21.0,2019-01-01,21.0
District of Columbia,24.0,2019-02-01,24.0
District of Columbia,18.0,2019-03-01,18.0
District of Columbia,18.0,2019-04-01,18.0
District of Columbia,25.0,2019-05-01,25.0
District of Columbia,28.0,2019-06-01,28.0
District of Columbia,20.0,2019-07-01,20.0
District of Columbia,33.0,2019-08-01,33.0
District of Columbia,32.0,2019-09-01,32.0
District of Columbia,26.0,2019-10-01,26.0
District of Columbia,26.0,2019-11-01,81.0
District of Columbia,40.0,2019-12-01,41.0
District of Columbia,,2020-01-01,45.0
District of Columbia,,2020-02-01,34.0
District of Columbia,,2020-03-01,35.0
District of Columbia,,2020-04-01,52.0
District of Columbia,,2020-05-01,47.0
District of Columbia,,2020-06-01,41.0
District of Columbia,,2020-07-01,27.0
District of Columbia,,2020-08-01,54.0
District of Columbia,,2020-09-01,41.0
District of Columbia,,2020-10-01,31.0
District of Columbia,,2020-11-01,82.0
District of Columbia,,2020-12-01,22.0
Florida,411.0,2018-12-01,411.0
Florida,412.0,2019-01-01,412.0
Florida,369.0,2019-02-01,369.0
Florida,383.0,2019-03-01,383.0
Florida,429.0,2019-04-01,429.0
Florida,392.0,2019-05-01,392.0
Florida,446.0,2019-06-01,446.0
Florida,451.0,2019-07-01,451.0
Florida,420.0,2019-08-01,420.0
Florida,480.0,2019-09-01,480.0
Florida,523.0,2019-10-01,523.0
Florida,494.0,2019-11-01,766.0
Florida,469.0,2019-12-01,453.0
Florida,,2020-01-01,523.0
Florida,,2020-02-01,511.0
Florida,,2020-03-01,624.0
Florida,,2020-04-01,665.0
Florida,,2020-05-01,790.0
Florida,,2020-06-01,650.0
Florida,,2020-07-01,693.0
Florida,,2020-08-01,640.0
Florida,,2020-09-01,686.0
Florida,,2020-10-01,554.0
Florida,,2020-11-01,795.0
Florida,,2020-12-01,448.0
Georgia,118.0,2018-12-01,118.0
Georgia,120.0,2019-01-01,120.0
Georgia,105.0,2019-02-01,105.0
Georgia,136.0,2019-03-01,136.0
