"","loc","1","2","3","4","5","6","7","8","9","10"
"1","National","6356 (6248 - 6464)","6522 (6395 - 6649)","7356 (7197 - 7515)","7703 (7537 - 7869)","9192 (8993 - 9391)","7888 (7715 - 8061)","8850 (8652 - 9048)","8606 (8414 - 8798)","7718 (7542 - 7894)","7783 (7605 - 7961)"
"2","West South Central","503 (481 - 525)","462 (441 - 483)","569 (542 - 596)","630 (601 - 659)","704 (671 - 737)","640 (609 - 671)","723 (688 - 758)","743 (708 - 778)","609 (580 - 638)","585 (557 - 613)"
"3","West North Central","313 (302 - 324)","327 (315 - 339)","364 (350 - 378)","396 (381 - 411)","421 (405 - 437)","361 (346 - 376)","362 (348 - 376)","376 (361 - 391)","348 (335 - 361)","357 (344 - 370)"
"4","South Atlantic","1458 (1408 - 1508)","1468 (1418 - 1518)","1708 (1648 - 1768)","1775 (1712 - 1838)","2150 (2073 - 2227)","1674 (1614 - 1734)","2123 (2045 - 2201)","1901 (1831 - 1971)","1837 (1767 - 1907)","1927 (1854 - 2000)"
"5","Pacific","774 (749 - 799)","808 (781 - 835)","943 (910 - 976)","956 (922 - 990)","1097 (1058 - 1136)","1011 (975 - 1047)","1144 (1103 - 1185)","1340 (1292 - 1388)","1061 (1023 - 1099)","1072 (1033 - 1111)"
"6","New England","378 (356 - 400)","410 (386 - 434)","452 (426 - 478)","456 (429 - 483)","489 (460 - 518)","415 (391 - 439)","504 (475 - 533)","389 (367 - 411)","433 (408 - 458)","409 (385 - 433)"
"7","Mountain","485 (458 - 512)","438 (411 - 465)","511 (479 - 543)","549 (514 - 584)","637 (595 - 679)","624 (584 - 664)","764 (715 - 813)","766 (718 - 814)","547 (513 - 581)","572 (536 - 608)"
"8","Middle Atlantic","987 (947 - 1027)","1000 (957 - 1043)","1086 (1038 - 1134)","1073 (1027 - 1119)","1209 (1157 - 1261)","1129 (1080 - 1178)","1200 (1147 - 1253)","1216 (1162 - 1270)","1061 (1014 - 1108)","1041 (995 - 1087)"
"9","East South Central","395 (373 - 417)","448 (424 - 472)","541 (512 - 570)","555 (525 - 585)","779 (737 - 821)","601 (568 - 634)","615 (581 - 649)","621 (590 - 652)","539 (512 - 566)","576 (547 - 605)"
"10","East North Central","1063 (1038 - 1088)","1161 (1133 - 1189)","1182 (1152 - 1212)","1313 (1279 - 1347)","1706 (1662 - 1750)","1433 (1396 - 1470)","1415 (1378 - 1452)","1254 (1223 - 1285)","1283 (1251 - 1315)","1244 (1213 - 1275)"
"11","West Virginia","78 (71 - 85)","78 (71 - 85)","89 (80 - 98)","102 (92 - 112)","167 (151 - 183)","143 (126 - 160)","113 (100 - 126)","113 (100 - 126)","127 (111 - 143)","97 (85 - 109)"
"12","District of Columbia","45 (29 - 61)","34 (22 - 46)","35 (23 - 47)","52 (34 - 70)","47 (30 - 64)","41 (26 - 56)","27 (17 - 37)","54 (35 - 73)","41 (26 - 56)","31 (20 - 42)"
"13","Kentucky","115 (107 - 123)","148 (137 - 159)","156 (145 - 167)","181 (168 - 194)","250 (232 - 268)","161 (149 - 173)","199 (185 - 213)","179 (168 - 190)","175 (164 - 186)","186 (175 - 197)"
"14","Delaware","39 (34 - 44)","48 (43 - 53)","33 (29 - 37)","40 (35 - 45)","52 (46 - 58)","45 (40 - 50)","39 (35 - 43)","42 (37 - 47)","43 (38 - 48)","32 (28 - 36)"
"15","Tennessee","192 (183 - 201)","188 (179 - 197)","256 (243 - 269)","246 (234 - 258)","348 (331 - 365)","301 (286 - 316)","280 (267 - 293)","282 (269 - 295)","259 (247 - 271)","262 (250 - 274)"
"16","Ohio","354 (346 - 362)","360 (352 - 368)","361 (353 - 369)","403 (394 - 412)","581 (568 - 594)","526 (514 - 538)","506 (494 - 518)","406 (397 - 415)","452 (442 - 462)","438 (428 - 448)"
"17","Maryland","194 (185 - 203)","207 (198 - 216)","246 (235 - 257)","198 (188 - 208)","270 (257 - 283)","227 (216 - 238)","238 (226 - 250)","254 (242 - 266)","253 (241 - 265)","276 (262 - 290)"
