"Division","prnt_deaths","prnt_per_chg","prnt_deaths_pc"
"East South Central","779 (736 - 823)","99.2 (88.2 - 110.3)","40.6 (38.4 - 42.9)"
"East North Central","1706 (1662 - 1751)","55.4 (51.3 - 59.5)","36.4 (35.4 - 37.3)"
"New England","489 (460 - 519)","25.1 (17.6 - 32.5)","32.9 (31.0 - 34.9)"
"South Atlantic","2150 (2074 - 2227)","72.7 (66.5 - 78.8)","32.7 (31.5 - 33.8)"
"Middle Atlantic","1209 (1157 - 1262)","36.3 (30.4 - 42.3)","29.4 (28.1 - 30.7)"
"National","9192 (8989 - 9396)","57.7 (54.2 - 61.2)","28.0 (27.4 - 28.6)"
"Mountain","637 (596 - 679)","53.5 (43.6 - 63.4)","25.6 (24.0 - 27.3)"
"Pacific","1097 (1059 - 1136)","62.0 (56.3 - 67.8)","20.5 (19.8 - 21.2)"
"West North Central","421 (405 - 438)","60.7 (54.3 - 67.1)","19.6 (18.9 - 20.4)"
"West South Central","704 (671 - 738)","52.1 (44.8 - 59.3)","17.3 (16.5 - 18.2)"
